Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Boleyn Medical Centre,F84050,GPB,152 Barking Road,"Ground Floor, East Ham",,London,Greater London,E6 3BD,Tel: 02084758500,21 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84050,,,10661 patients,10661,,,Yes,yes,YES Contact practice for appointment availability,YES,,47.19% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,47.19%,yes,47.02% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,47.02%,yes,no
The Azad Practice ,F84735,GPB,1St Floor Boleyn Centre,152 Barking Road,East Ham,London,Greater London,E6 3BD,Tel: 02084758550,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84735,,,8856 patients,8856,,,Yes,yes,YES Contact practice for appointment availability,YES,,37.18% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.18%,yes,37.17% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.17%,yes,yes
The Bush Doctors,E85055,GPB,16-17 West 12 Shopping Centre,Hammersmith,,London,Greater London,W12 8PP,Tel: 02087491882,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85055,,,12442 patients,12442,,,Yes,yes,YES Contact practice for appointment availability,YES,,33.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,33.35%,yes,33.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,33.33%,yes,
Brook Green Surgery,E85074,GPB,15 Brook Green,,,London,Greater London,W6 7BL,Tel: 02076037563,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85074,,,4746 patients,4746,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,38.56%,yes,38.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,38.56%,yes,no
North Kensington Medical Centre,E87003,GPB,St Quintin Avenue,,,London,Greater London,W10 6NX,Tel: 02089695151,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E87003,,,4822 patients,4822,,,Yes,yes,YES Contact practice for appointment availability,YES,,49.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,49.92%,yes,49.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,49.90%,yes,yes
St.Quintin Health Centre,Y00507,GPB,St Quintin Avenue,,,London,Greater London,W10 6NX,Tel: 02089605677,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=37685,100,5.0,2468 patients,2468,,,Yes,yes,YES Contact practice for appointment availability,YES,,47.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,47.31%,yes,47.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,47.31%,yes,
Charlton House Medical Centre,F85017,GPB,581 High Road,,,London,Greater London,N17 6SB,Tel: 02088082837,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85017,,,6919 patients,6919,,,Yes,yes,YES Contact practice for appointment availability,YES,,40.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.08%,yes,39.62% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.62%,yes,
Dowsett Road Surgery,F85628,GPB,57 Dowsett Road,,,London,Greater London,N17 9DL,Tel: 02088084203,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85628,,,4860 patients,4860,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.51%,yes,24.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.55%,yes,no
Birchdale Road Medical Centre,F84641,GPB,2 Birchdale Road,North East Newham,,London,Greater London,E7 8AR,Tel: 02084721600,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84641,,,3191 patients,3191,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.36% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.36%,yes,26.36% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.36%,yes,Data not available
Dr Jefferies And Partners,E85029,GPB,The Medical Centre,292 Munster Road,Fulham,London,Greater London,SW6 6BQ,Tel: 02073851965,28 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85029,,,13428 patients,13428,,,Yes,yes,YES Contact practice for appointment availability,YES,,10.54% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,10.54%,yes,10.54% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,10.54%,yes,
Valley Road Surgery,G85044,GPB,139 Valley Road,,,London,Greater London,SW16 2XT,Tel: 02087692566,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85044,,,5828 patients,5828,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.37%,yes,24.10% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.10%,yes,yes
Dr. Masterton's Surgery,G85021,GPB,2 Prentis Road,Streatham,,London,Greater London,SW16 1XU,Tel: 02086965508,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85021,,,5281 patients,5281,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.26% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.26%,yes,33.71% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.71%,yes,yes
Dr A Minhas & Mr S Awan,E85649,GPB,Fulham Cross Medical Centre,322 Lillie Road,Fulham,London,Greater London,SW6 7PP,Tel: 020 7385 1964,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85649,,,2628 patients,2628,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,22.78%,yes,22.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,22.78%,yes,
The Shrewsbury Centre,F84006,GPB,Shrewsbury Road Surgery,Shrewsbury Road Surgery,Shrewsbury Road,London,Greater London,E7 8QP,Tel: 0300 033 7700,21 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84006,,,14469 patients,14469,,,Yes,yes,YES Contact practice for appointment availability,YES,,74.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,74.44%,yes,73.45% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,73.45%,yes,yes
Unit 23 (4),E85124001,GPB,The Coda Centre,Munster Road,,London,Greater London,SW6 6AW,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151917,0,0,68569 patients,68569,,,Yes,yes,N/A - Data not available,,,3.87% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,3.87%,yes,3.84% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,3.84%,yes,
Sterndale Surgery,E85125,GPB,74A Sterndale Road,Hammersmith,,London,Greater London,W14 0HX,Tel: 02076023797,50 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85125,,,4776 patients,4776,,,Yes,yes,YES Contact practice for appointment availability,YES,,51.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,51.98%,yes,51.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,51.98%,yes,
Waltham Forest Community And Fhs Ltd,F86644001,GPB,Wf Community And Fhs Ltd,The Forest Rd Medical Centre,354-358 Forest Road,London,Greater London,E17 5JG,Tel: 02084307710,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86644001,,,10506 patients,10506,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.29% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.29%,yes,38.02% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.02%,yes,yes
Holburne Road Surgery,G83067002,GPB,201-203 Holburne Road,,,London,Greater London,SE3 8HQ,Tel: 02083195400,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83067002,,,26025 patients,26025,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.76%,yes,24.59% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.59%,yes,
Dr Krishnamurthy's Practice,F84741,GPB,,Shrewsbury Road,Forest Gate,London,Greater London,E7 8QR,Tel: 02085866555,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84741,,,2180 patients,2180,,,Yes,yes,YES Contact practice for appointment availability,YES,,55.38% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,55.38%,yes,55.19% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,55.19%,yes,
The Summitt Practice,F84742,GPB,East Ham Memorial Building,Shrewsbury Road,Forest Gate,London,Greater London,E7 8QR,Tel: 02085522299,2 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=40159,50,3.0,2461 patients,2461,,,Yes,yes,YES Contact practice for appointment availability,YES,,31.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.37%,yes,30.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.32%,yes,
Brook Green Medical Centre,E85020,GPB,Bute Gardens,,,London,Greater London,W6 7EG,Tel: 02074713333,30 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85020,,,15049 patients,15049,,,Yes,yes,YES Contact practice for appointment availability,YES,,47.16% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,47.16%,yes,47.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,47.15%,yes,no
Addison Road Medical Practice,F86607,GPB,Comely Bank Clinic,46 Ravenswood Road,,London,Greater London,E17 9LY,Tel: 02084307171,45 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86607,,,13995 patients,13995,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.80% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.80%,yes,44.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,44.01%,yes,yes
Westbury Medical Centre,F85031,GPB,205 Westbury Avenue,Wood Green,,London,Greater London,N22 6RX,Tel: 02088883021,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85031,,,11010 patients,11010,,,Yes,yes,YES Contact practice for appointment availability,YES,,32.34% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.34%,yes,32.18% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.18%,yes,yes
Trinity Medical Centre,H85005,GPB,The Trinity Medical Centre,278-280 Balham High Road,,London,Greater London,SW17 7AL,Tel: 02086723331,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85005,,,8911 patients,8911,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.05% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.05%,yes,23.99% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.99%,yes,
Sydenham Green Group Practice,G85024,GPB,Sydenham Green Health Centre,26 Holmshaw Close,,London,Greater London,SE26 4TH,Tel: 02030492820,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85024,,,17144 patients,17144,,,Yes,yes,YES Contact practice for appointment availability,YES,,39.13% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.13%,yes,39.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.01%,yes,yes
Albert Road Surgery,Y02928,GPB,76 Albert Road,North Woolwich,,London,Greater London,E16 2DY,Tel: 02081042222,177 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=39669,84.6,4.5,13426 patients,13426,,,Yes,yes,YES Contact practice for appointment availability,YES,,43.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,43.23%,yes,42.80% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.80%,yes,
The Morris House Group Practice,F85019,GPB,239 Lordship Lane,Tottenham,,London,Greater London,N17 6AA,Tel: 0203 143 3600,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85019,,,13298 patients,13298,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.71% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.71%,yes,26.70% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.70%,yes,
Dr Shantir's Practice,F86626,GPB,354-358 Forest Road,Walthamstow,,London,Greater London,E17 5JL,Tel: 020 8520 7115,48 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86626,,,5580 patients,5580,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.58%,yes,21.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.35%,yes,yes
Green Man Medical Centre,F86621,GPB,1 Hanbury Drive,,,Leytonstone,Greater London,E11 1GA,Tel: 02089892606,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86621,,,5777 patients,5777,,,Yes,yes,YES Contact practice for appointment availability,YES,,37.42% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.42%,yes,37.30% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.30%,yes,yes
The Ecclesbourne Practice,F86018,GPB,1 Warwick Terrace,Lea bridge Road,Walthamstow,London,Greater London,E17 9DP,Tel: 02085392077,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86018,,,10147 patients,10147,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.60% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,24.60%,yes,23.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,23.31%,yes,yes
Kidbrooke Village Medical Centre,G83027001,GPB,Kidbrooke Village Medical Centre,7 Elford Close,Kidbrooke Village,London,Greater London,SE3 9FA,Tel: 02088502120,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83027001,,,12856 patients,12856,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.74% of patients are signed up to this service  - https://www.patient-services.co.uk,19.74%,yes,19.74% of patients are signed up to this service  - https://www.patient-services.co.uk,19.74%,yes,
Castleview Surgery,F85028001,GPB,119 Lordship Lane,Tottenham,,London,Greater London,N17 6XE,Tel: 02088011515,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85028001,,,8053 patients,8053,,,Yes,yes,YES Contact practice for appointment availability,YES,,10.13% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,10.13%,yes,10.12% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,10.12%,yes,
The Bailey Practice,F86689,GPB,107 Shernhall Street,,,London,Greater London,E17 9HS,Tel: 02085205138,24 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86689,,,4189 patients,4189,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.90%,yes,25.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.93%,yes,yes
MAPESBURY MEDICAL GROUP,E84012,GPB,Windmill Branch,65 Shoot Up Hill,,London,,NW2 3PS,Tel: 0208452 7646,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84012,,,9264 patients,9264,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.04% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.04%,yes,33.99% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.99%,yes,no
Hammersmith & Fulham Centres For Health (Branch),Y02589001,GPB,Fulham Palace Road,,,London,Greater London,W6 8RF,Tel: 02033134100,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y02589001,,,9426 patients,9426,,,Yes,yes,YES Contact practice for appointment availability,YES,,43.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,43.66%,yes,43.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,43.66%,yes,yes
Torridon Road Medical Practice,G85032,GPB,80 Torridon Road,,,London,Greater London,SE6 1RB,Tel: 020 8698 5281,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85032,,,11831 patients,11831,,,Yes,yes,YES Contact practice for appointment availability,YES,,42.17% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.17%,yes,42.10% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.10%,yes,
Chamberlayne Road Surgery,E84066003,GPB,124 Chamberlayne Road,Kensal Rise,,London,,NW10 3JP,Tel: 02082066590,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84066003,,,14107 patients,14107,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.32%,yes,20.30% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.30%,yes,yes
St. Bartholomews Surgery,F84010,GPB,292A Barking Road,,,London,Greater London,E6 3BA,Tel: 02084720669,92 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84010,,,10643 patients,10643,,,Yes,yes,YES Contact practice for appointment availability,YES,,40.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.94%,yes,40.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.79%,yes,yes
Wandsworth Medical Centre,H85001,GPB,90-92 Garratt Lane,Wandsworth,,London,Greater London,SW18 4DD,Tel: 0203 006 2741,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85001,,,18196 patients,18196,,,Yes,yes,YES Contact practice for appointment availability,YES,,39.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,39.08%,yes,38.38% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.38%,yes,
Tollgate Medical Centre,F84093,GPB,220 Tollgate Road,,,London,Greater London,E6 5JS,Tel: 02074739399,44 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84093,,,17875 patients,17875,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.14% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.14%,yes,22.85% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.85%,yes,
Tooting Bec Surgery,H85664,GPB,313 Balham High Road,,,London,Greater London,SW17 7BA,Tel: 02086820352,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85664,,,2482 patients,2482,,,Yes,yes,YES Contact practice for appointment availability,YES,,17.87% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,17.87%,yes,17.87% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,17.87%,yes,
Dr B Patel Dr P Vutukuri,G83060001,GPB,123 Samuel Street,Woolwich,,London,Greater London,SE18 5LG,Tel: 02088541222,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83060001,,,6789 patients,6789,,,Yes,yes,YES Contact practice for appointment availability,YES,,14.80% of patients are signed up to this service  - https://www.patient-services.co.uk,14.80%,yes,14.74% of patients are signed up to this service  - https://www.patient-services.co.uk,14.74%,yes,
Frances Street Surgery,G83067001,GPB,184 Frances Street,,,London,Greater London,SE18 5JS,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151926,0,0,26025 patients,26025,,,Yes,yes,N/A - Data not available,,,24.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.76%,yes,24.59% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.59%,yes,
The Muswell Hill Practice,F85063,GPB,1 Dukes Avenue,Muswell Hill,,London,Greater London,N10 2PS,Tel: 02083653303,54 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85063,,,14553 patients,14553,,,Yes,yes,YES Contact practice for appointment availability,YES,,45.48% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,45.48%,yes,45.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,45.20%,yes,
North Wood Group Practice @ Crown Dale,G85022,GPB,61 Crown Dale,,,London,Greater London,SE19 3NY,Tel: 02086702414,20 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85022,,,17027 patients,17027,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.04% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.04%,yes,19.99% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.99%,yes,no
Dr B MANGWANA &  E VILATHGAMUWA,E85038,GPB,510 Fulham Palace Road,Fulham,,London,Greater London,SW6 6JD,Tel: 02077366305,30 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85038,,,5401 patients,5401,,,Yes,yes,YES Contact practice for appointment availability,YES,,10.74% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,10.74%,yes,10.74% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,10.74%,yes,
The Graham Practice,F84074,GPB,19 Wordsworth Avenue,,,London,Greater London,E12 6SU,Tel: 02085485960,41 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84074,,,11221 patients,11221,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.16% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.16%,yes,28.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.33%,yes,yes
Richford Gate Medical Centre,E85016,GPB,Richford Gate Primary Care Centre,,,London,Greater London,W6 7HY,Tel: 02033156655,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85016,,,10498 patients,10498,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,27.33%,yes,27.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,27.33%,yes,
The Bellingham Green Surgery,G85124,GPB,24 Bellingham Green,,,London,Greater London,SE6 3JB,Tel: 02086977285,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85124,,,7513 patients,7513,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.04% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.04%,yes,27.88% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.88%,yes,yes
Triangle Surgery,H85082,GPB,Unit 3 Triangle House,2 Broomhill Road,,Wandsworth,Greater London,SW18 4HX,Tel: 02088741700,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85082,,,4835 patients,4835,,,Yes,yes,YES Contact practice for appointment availability,YES,,11.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,11.76%,yes,11.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,11.72%,yes,yes
