Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
Hammersmith & Fulham Mental Health Unit,RKL79,HOS,Claybrook Road,,,London,Greater London,W6 8NF,Tel: 020 7386 1177,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKL79,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RKL79,5,cqc-norating,Within expected range with a value of 56%,56,ok,Not available for independent or specialist hospitals,,doesnotapply,,79.29%,OK,,,,
Whipps Cross University Hospital,R1HKH,HOS,Whipps Cross Road,,,London,,E11 1NR,Tel: 020 8539 5522,375 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1HKH,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/R1HKH,3,cqc-requiresimp,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,90.46% Among the best,90.46%,Tick,yes,,yes,yes
Charing Cross Hospital,RYJ02,HOS,,Fulham Palace Road,,London,,W6 8RF,Tel: 020 3311 1234,146 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYJ02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RYJ02,3,cqc-requiresimp,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.696,tick,88.56% Among the best,88.56%,Tick,yes,,yes,no
Queen Elizabeth Hospital,RJ231,HOS,Stadium Road,,,London,,SE18 4QH,Tel: 020 8836 6000,112 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ231,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJ231,3,cqc-requiresimp,Within expected range with a value of 54%,54,ok,Number of deaths within the expected range,0.922,ok,82.03% Among the best,82.03%,Tick,,,,
Oxleas House,RPGAE,HOS,Queen Elizabeth Hospital,Stadium Road,,London,,SE18 4QH,Tel: 0203 953 6340,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGAE,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,87.95% Among the best,87.95%,Tick,yes,,yes,no
Olive Eden Hospital,AHQ02,HOS,71 St. Pauls Road,,,London,Greater London,N17 0ND,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AHQ02,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Springfield University Hospital,RQY01,HOS,61 Glenburnie Road,,,London,,SW17 7DJ,Tel: 0203 513 5000,27 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQY01,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RQY01,5,cqc-norating,Within expected range with a value of 55%,55,ok,Not available for independent or specialist hospitals,,doesnotapply,88.03% Among the best,88.03%,Tick,yes,,yes,yes
Cygnet Hospital Beckton,NMJ04,HOS,,23 Tunnan Leys,Beckton,London,,E6 6ZB,Tel: 020 7511 2299,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ04,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130471820,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Hammersmith Hospital,RYJ03,HOS,Du Cane Road,,,London,,W12 0HS,Tel: 020 3313 1000,76 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYJ03,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RYJ03,3,cqc-requiresimp,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.696,tick,91.49% Among the best,91.49%,Tick,yes,,yes,no
Queen Charlotte's & Chelsea Hospital,RYJ04,HOS,Du Cane Road,,,London,,W12 0HS,Tel: 020 3313 1111,62 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYJ04,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RYJ04,1,cqc-outstanding,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.696,tick,95.39% Among the best,95.39%,Tick,yes,,yes,no
Ravenscourt Park Hospital,RAX60,HOS,Stamford Clinic,Ravenscourt Park,,London,Greater London,W6 0TQ,Tel: 02088467777,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAX60,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 77%,77,ok,Lower number of deaths than expected,0.777,tick,No relevant data available,,doesnotapply,,,,
BPAS Willesden,NT1QA,HOS,Willesden Centre for Health and Social Care,Westside Contraceptive Service,Robson Avenue,London,,NW10 3RY,Tel: 03457304030,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT1QA,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Royal Hospital For Neuro-Disability (West Hill),NN101,HOS,West Hill,,,London,Greater London,SW15 3SW,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NN101,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-117350917,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,92.91% Among the best,92.91%,Tick,,,,
Bloomfield Court Hospital,AHQ03,HOS,69 Bloomfield Road,Woolwich,Greenwich,London,Greater London,SE18 7JN,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AHQ03,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Wanstead Hospital,R1HKJ,HOS,Makepeace Road,,,London,Greater London,E11 1UU,,32 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1HKJ,,,Not yet rated,,doesnotapply,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,No relevant data available,,doesnotapply,,,,
St George's Hospital,RJ701,HOS,Blackshaw Road,,,London,Greater London,SW17 0QT,Tel: 0208 672 1255,177 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ701,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJ701,3,cqc-requiresimp,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.828,tick,82.97% Among the best,82.97%,Tick,yes,,yes,yes
Memorial Hospital (Greenwich),RPGAG,HOS,Shooters Hill,Woolwich,,London,,SE18 3RG,Tel: 020 8836 8500,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGAG,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/RPGAG,5,cqc-norating,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,91.49% Among the best,91.49%,Tick,yes,,yes,no
North Middlesex University Hospital,RAPNM,HOS,,Sterling Way,,London,,N18 1QX,Tel: 020 8887 2000,204 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAPNM,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RAPNM,3,cqc-requiresimp,Within expected range with a value of 54%,54,ok,Lower number of deaths than expected,0.864,tick,84.93% Among the best,84.93%,Tick,yes,,yes,yes
Eltham Community Hospital,RPGHP,HOS,30 Passey Place,,,London,,SE9 5DQ,Tel: 020 3049 0400,7 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGHP,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RPGX6,5,cqc-norating,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,,87.73%,Tick,,,,
Spire London East Hospital,NT314,HOS,Roding Lane South,,,Ilford,Essex,IG4 5PZ,Tel: 020 8709 7878,25 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT314,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-129798374,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,87.92%,Tick,yes,,yes,yes
Finchley Memorial Hospital,RAL22,HOS,Granville Road,,,London,Greater London,N12 0JE,Tel: 020 8349 7500,25 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAL22,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RAL40,5,cqc-norating,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,No relevant data available,,doesnotapply,yes,,yes,yes
Queen Mary - St George's University Hospitals NHS Foundation Trust,RJ731,HOS,,Roehampton Lane,Roehampton,London,,SW15 5PN,Tel: 020 8487 6000,66 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ731,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJ731,3,cqc-requiresimp,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.828,tick,89.18% Among the best,89.18%,Tick,,,,
BMI The Sloane Hospital,NT437,HOS,,Albemarle Road,,Beckenham,Kent,BR3 5HS,Tel: 020 8466 4000,12 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT437,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128767290,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,89.79%,Tick,yes,,yes,no
Aspen - Parkside Hospital,NYW02,HOS,53 Parkside,,,London,Greater London,SW19 5NX,Tel: 02089718000,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NYW02,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-1890547068,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,90.33%,Tick,,,,
Priory Hospital Roehampton,NTN10,HOS,Priory Lane,Roehampton,,London,,SW15 5JJ,Tel: 020 8876 8261,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN10,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-127132286,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,yes,no
Barnes Hospital,RQY05,HOS,,South Worple Way,Barnes,London,,SW14 8SU,Tel: 0203 513 5000,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQY05,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 55%,55,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Central Middlesex Hospital,R1K02,HOS,Acton Lane,Park Royal,,London,,NW10 7NS,Tel: 020 8965 5733,59 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1K02,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/R1K02,3,cqc-requiresimp,Within expected range with a value of 60%,60,ok,Lower number of deaths than expected,0.836,tick,,91.17%,Tick,yes,,,
Barking Community Hospital,RATAP,HOS,Upney Lane,,,Barking,Essex,IG11 9LX,Tel: 02036442301,44 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RATAP,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
BMI Hendon Hospital,NT416,HOS,BMI Hendon Hospital,46-50 Sunny Gardens Road,Hendon,London,,NW4 1RP,Tel: 020 8457 4500,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT416,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128766778,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,85.39%,Tick,yes,,,
Priory Hospital North London,NTN15,HOS,Grovelands House,The Bourne,Southgate,London,,N14 6RA,Tel: 020 8882 8191,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN15,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-127132229,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,no
Croydon University Hospital,RJ611,HOS,,530 London Road,,Thornton Heath,Surrey,CR7 7YE,Tel: 020 8401 3000,227 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ611,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJ611,3,cqc-requiresimp,Within expected range with a value of 55%,55,ok,Number of deaths within the expected range,0.915,ok,95.14% Among the best,95.14%,Tick,yes,,yes,yes
Wilson Hospital,RVRC7,HOS,Cranmer Road,,,Mitcham,Surrey,CR4 4TP,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVRC7,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,,,,
BMI Shirley Oaks Hospital,NT436,HOS,,Poppy Lane,,Croydon,Surrey,CR9 8AB,Tel: 0208 655 5500,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT436,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128767270,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.04%,Tick,yes,,yes,no
Croydon Day Hospital,NVC0M,HOS,"Level 9, Interchange",81-85 Wellesley Road,,Croydon,Surrey,CR0 2RD,Tel: 020 3126 4620,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC0M,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/1-4151729297,5,cqc-norating,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Cygnet Hospital Ealing,NMJ08,HOS,,22 Corfton Road,,Ealing,,W5 2HT,Tel: 020 8991 6699,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ08,0,0,Inadequate Visit CQC profile - http://www.cqc.org.uk/location/1-130486723,4,cqc-inadequate,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Optegra Eye Hospital North London,NNH07,HOS,"Unit 6, Technology Park",Colindeep Lane,,London,,NW9 6BX,Tel: 0208 205 8003,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NNH07,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Clayponds Rehabilitation Hospital,R1K68,HOS,Sterling Place,,South Ealing,London,,W5 4RN,Tel: 020 8560 4011,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1K68,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1K68,5,cqc-norating,Within expected range with a value of 60%,60,ok,Lower number of deaths than expected,0.836,tick,,90.59%,Tick,,,,
Bethlem Royal Hospital,RV505,HOS,Monks Orchard Road,Monks Orchard Road,,"Beckenham, London",,BR3 3BX,Tel: 020 3228 6000,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV505,,,Not yet rated,,doesnotapply,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,78.97% Within the middle range,78.97%,OK,yes,,yes,yes
Aspen - The Holly Private Hospital,NYW01,HOS,,High Road,,Buckhurst Hill,Essex,IG9 5HX,Tel: 020 8505 3311,18 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NYW01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-1890528285,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,95.91% Among the best,95.91%,Tick,,,,
Rhodes Farm,NMV54,HOS,The Ridgeway,Mill Hill,,London,Greater London,NW7 1RH,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMV54,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Goodmayes Hospital,RATGM,HOS,,Barley Lane,Goodmayes,Ilford,Essex,IG3 8XJ,Tel: 020 8215 9200,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RATGM,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
North East London NHS Treatment Centre,NTP15,HOS,c/o Care UK,King George Hospital,Barley Lane,Ilford,Essex,IG3 8YB,Tel: 0333 200 4069,45 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTP15,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-358557034,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,96.10%,Tick,yes,,yes,yes
King George Hospital,RF4DG,HOS,,Barley Lane,,Ilford,Essex,IG3 8YB,Tel: 0330 400 4333,151 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4DG,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RF4DG,3,cqc-requiresimp,Within expected range with a value of 63%,63,ok,Number of deaths within the expected range,0.982,ok,91.11% Among the best,91.11%,Tick,yes,,yes,no
Richmond Royal Hospital,RQYCC,HOS,,Kew Foot Road,,Richmond,,TW9 2TE,Tel: 020 3513 3200,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQYCC,,,Not yet rated,,doesnotapply,Within expected range with a value of 55%,55,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
St Andrews Court,RRPG7,HOS,1-4 River Front,Enfield Town,,Enfield,Middlesex,EN1 3SY,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRPG7,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 59%,59,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
New Victoria Hospital,RAX58,HOS,184 Coombe Lane West,,,Kingston Upon Thames,Surrey,KT2 7EG,Tel: 020 8949 9000,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAX58,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RAX58,5,cqc-norating,Within expected range with a value of 77%,77,ok,Lower number of deaths than expected,0.777,tick,No relevant data available,,doesnotapply,,,,
St Helier Hospital,RVR05,HOS,Wrythe Lane,,,Carshalton,Surrey,SM5 1AA,Tel: 020 8296 2000,107 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVR05,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RVR05,2,cqc-good,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,84.62% Among the best,84.62%,Tick,yes,,yes,yes
Queen Mary's Hospital For Children,RVR07,HOS,Wrythe Lane,,,Carshalton,Surrey,SM5 1AA,Tel: 020 8296 2000,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVR07,,,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.976,ok,No relevant data available,,doesnotapply,yes,,yes,no
Chadwell Heath Hospital,RF4CH,HOS,Grove Road,,,Romford,Essex,RM6 4XH,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RF4CH,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Number of deaths within the expected range,0.982,ok,No relevant data available,,doesnotapply,,,,
Upton Day Hospital,RPGDJ,HOS,14 Upton Road,,,Bexleyheath,Kent,DA6 8LQ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGDJ,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Riverside Hospital,AY002,HOS,Unit 3,Brentside Executive Centre,Great West Road,Brentford,Middlesex,TW8 9DR,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AY002,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Bridgeways Day Hospital,RPGCR,HOS,Turpington Lane,,,Bromley,Kent,BR2 8JA,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGCR,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Ellern Mede Ridgeway,8A580,HOS,,"Holcombe Hill, The Ridgway Mill Hill",,,,NW7 4HX,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=8A580,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Queen Mary,RPGHF,HOS,,Frognal Avenue,,Sidcup,Kent,DA14 6LT,Tel: 020 8302 2678,84 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPGHF,,,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,92.34% Among the best,92.34%,Tick,yes,,yes,no
BMI The Cavell Hospital,NT451,HOS,Cavell Drive,Uplands Park Road,,Enfield,Middlesex,EN2 7PR,Tel: 020 8366 2122,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT451,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128758601,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,90.31%,Tick,yes,,yes,yes
Edgware Community Hospital,RALRA,HOS,Burnt Oak Broadway,,,Edgware,Middlesex,HA8 0AD,Tel: 020 8952 2381,57 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RALRA,,,Not yet rated,,doesnotapply,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,No relevant data available,,doesnotapply,yes,,yes,no
Priory Hospital Hayes Grove,NTN09,HOS,Prestons Road,Hayes,,Bromley,Kent,BR2 7AS,Tel: 020 8462 7722,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN09,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-127132208,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,no
West Middlesex University Hospital,RQM91,HOS,Twickenham Road,,,Isleworth,Middlesex,TW7 6AF,Tel: 020 8560 2121,232 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQM91,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RQM91,2,cqc-good,Within expected range with a value of 78%,78,ok,Lower number of deaths than expected,0.748,tick,,95.40%,Tick,,,,
St Lukes Hospice (Harrow),DJ001,HOS,Kenton Grange,Kenton Road,,Harrow,Middlesex,HA3 0YG,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DJ001,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Spire St Anthony's Hospital,NT3X3,HOS,801 London Road,Cheam,,Sutton,Surrey,SM3 9DW,Tel: 020 8337 6691,10 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT3X3,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-1382018165,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Chase Farm Hospital,RALC7,HOS,127 The Ridgeway,,,Enfield,Middlesex,EN2 8JL,Tel: 020 8375 2999,143 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RALC7,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RALC7,2,cqc-good,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,,92.58%,Tick,,,,
Kingston Hospital,RAX01,HOS,Galsworthy Road,,,Kingston Upon Thames,Surrey,KT2 7QB,Tel: 020 8546 7711,151 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAX01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RAX01,2,cqc-good,Within expected range with a value of 77%,77,ok,Lower number of deaths than expected,0.777,tick,83.18% Among the best,83.18%,Tick,yes,,yes,yes
BMI The Kings Oak Hospital,NT421,HOS,,The Ridgeway,,Enfield,Middlesex,EN2 8SD,Tel: 020 8370 9500,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT421,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128766906,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,92.36%,Tick,yes,,yes,no
Cassel Hospital,RKL48,HOS,The Cassel Hospital,1 Ham Common,,Richmond,Surrey,TW10 7JF,Tel: 020 8483 2900,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKL48,,,Not yet rated,,doesnotapply,Within expected range with a value of 56%,56,ok,Not available for independent or specialist hospitals,,doesnotapply,88.19% Among the best,88.19%,Tick,yes,,,
Hadley Wood Hospital,RAL80,HOS,52 Moxon Street,,,Barnet,Hertfordshire,EN5 5TS,Tel: 0203 7582050,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAL80,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RAL80,5,cqc-norating,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,No relevant data available,,doesnotapply,,,,
Erith and District Hospital,RN7ED,HOS,Erith Hospital,Urgent Care 01322356116,Park Crescent,Erith,Kent,DA8 3EE,Tel: 0203 668 9490,71 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RN7ED,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RN7ED,5,cqc-norating,Within expected range with a value of 79%,79,ok,Number of deaths within the expected range,1.062,ok,No relevant data available,,doesnotapply,yes,,yes,no
Barnet Hospital,RAL26,HOS,Wellhouse Lane,,,Barnet,Hertfordshire,EN5 3DJ,Tel: 020 8216 4600,279 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAL26,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RAL26,3,cqc-requiresimp,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,,90.42%,Tick,,,,
