LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000549,Brent 028E,E09000005,Brent,17.113,16885.000,6.000,0.110,14947.000,5.000,0.081,16096.000,5.000,4.256,28226.000,9.000,-0.691,25834.000,8.000,0.098,15155.000,5.000,32.705,5257.000,2.000,31.185,8161.000,3.000
E01000550,Brent 034B,E09000005,Brent,34.612,6026.000,2.000,0.239,4574.000,2.000,0.156,6063.000,2.000,13.537,18558.000,6.000,0.146,13786.000,5.000,1.139,2572.000,1.000,33.062,5043.000,2.000,31.660,7905.000,3.000
E01000551,Brent 034C,E09000005,Brent,41.111,3943.000,2.000,0.322,1627.000,1.000,0.213,2595.000,1.000,19.577,14034.000,5.000,-0.018,16277.000,5.000,0.214,13268.000,5.000,40.585,2030.000,1.000,24.564,12050.000,4.000
E01000552,Brent 034D,E09000005,Brent,43.404,3375.000,2.000,0.313,1873.000,1.000,0.189,3731.000,2.000,24.252,11208.000,4.000,0.013,15798.000,5.000,0.331,11485.000,4.000,42.316,1581.000,1.000,46.328,2593.000,1.000
E01000553,Brent 015A,E09000005,Brent,29.062,8467.000,3.000,0.158,9764.000,3.000,0.109,11224.000,4.000,16.445,16231.000,5.000,0.154,13683.000,5.000,0.693,6589.000,3.000,43.593,1306.000,1.000,32.336,7556.000,3.000
E01000554,Brent 015B,E09000005,Brent,21.039,13528.000,5.000,0.145,10985.000,4.000,0.087,14776.000,5.000,15.320,17109.000,6.000,-0.452,22795.000,7.000,-0.090,17981.000,6.000,36.707,3329.000,2.000,27.362,10335.000,4.000
E01000555,Brent 015C,E09000005,Brent,15.947,17999.000,6.000,0.097,16716.000,6.000,0.059,21705.000,7.000,5.356,26893.000,9.000,-0.992,28753.000,9.000,0.490,9209.000,3.000,35.161,4015.000,2.000,27.520,10253.000,4.000
E01000556,Brent 015D,E09000005,Brent,32.007,7082.000,3.000,0.165,9206.000,3.000,0.096,13283.000,5.000,16.061,16517.000,6.000,-0.228,19547.000,6.000,1.319,1672.000,1.000,43.394,1351.000,1.000,46.480,2559.000,1.000
E01000557,Brent 015E,E09000005,Brent,23.465,11719.000,4.000,0.140,11453.000,4.000,0.099,12678.000,4.000,7.319,24693.000,8.000,0.126,14098.000,5.000,0.426,10080.000,4.000,38.330,2728.000,1.000,26.954,10575.000,4.000
E01000558,Brent 015F,E09000005,Brent,26.806,9694.000,3.000,0.149,10555.000,4.000,0.121,9625.000,3.000,6.653,25424.000,8.000,-0.225,19491.000,6.000,1.123,2654.000,1.000,37.942,2851.000,1.000,27.730,10120.000,4.000
E01000559,Brent 018E,E09000005,Brent,22.118,12685.000,4.000,0.145,10907.000,4.000,0.085,15204.000,5.000,5.836,26347.000,9.000,-0.033,16500.000,6.000,0.420,10173.000,4.000,37.806,2901.000,1.000,28.022,9939.000,4.000
E01000560,Brent 023D,E09000005,Brent,19.077,15170.000,5.000,0.102,16020.000,5.000,0.082,15775.000,5.000,6.317,25820.000,8.000,-0.556,24133.000,8.000,0.501,9069.000,3.000,37.942,2850.000,1.000,27.141,10451.000,4.000
E01000561,Brent 023E,E09000005,Brent,24.708,10941.000,4.000,0.154,10083.000,4.000,0.108,11308.000,4.000,4.909,27405.000,9.000,-0.029,16440.000,6.000,0.650,7070.000,3.000,40.958,1943.000,1.000,22.412,13557.000,5.000
E01000562,Brent 008A,E09000005,Brent,10.862,23487.000,8.000,0.091,17789.000,6.000,0.047,25690.000,8.000,3.426,29217.000,9.000,-1.319,30956.000,10.000,-0.282,20785.000,7.000,30.915,6342.000,2.000,19.805,15443.000,5.000
E01000563,Brent 008B,E09000005,Brent,9.588,25021.000,8.000,0.061,23565.000,8.000,0.045,26441.000,9.000,1.953,30944.000,10.000,-0.847,27472.000,9.000,0.245,12794.000,4.000,25.352,10793.000,4.000,21.523,14177.000,5.000
E01000564,Brent 013A,E09000005,Brent,17.310,16724.000,6.000,0.111,14782.000,5.000,0.061,21092.000,7.000,11.194,20720.000,7.000,-0.954,28447.000,9.000,-0.464,23282.000,8.000,45.117,1037.000,1.000,21.453,14221.000,5.000
E01000565,Brent 013B,E09000005,Brent,23.892,11437.000,4.000,0.182,7858.000,3.000,0.109,11189.000,4.000,13.906,18249.000,6.000,-0.428,22483.000,7.000,0.080,15425.000,5.000,38.353,2714.000,1.000,20.612,14814.000,5.000
E01000566,Brent 008C,E09000005,Brent,14.793,19130.000,6.000,0.084,18816.000,6.000,0.046,26020.000,8.000,9.367,22506.000,7.000,-0.596,24662.000,8.000,-0.072,17724.000,6.000,40.712,1991.000,1.000,22.288,13664.000,5.000
E01000567,Brent 016A,E09000005,Brent,18.175,15988.000,5.000,0.124,13207.000,5.000,0.072,18158.000,6.000,7.053,25000.000,8.000,-0.438,22626.000,7.000,0.151,14285.000,5.000,38.417,2692.000,1.000,21.540,14159.000,5.000
E01000568,Brent 008D,E09000005,Brent,14.257,19684.000,6.000,0.034,30106.000,10.000,0.021,32186.000,10.000,3.604,29003.000,9.000,-0.584,24501.000,8.000,-0.039,17278.000,6.000,69.884,2.000,1.000,21.768,13999.000,5.000
E01000569,Brent 008E,E09000005,Brent,9.462,25177.000,8.000,0.078,19935.000,7.000,0.032,30088.000,10.000,3.771,28797.000,9.000,-1.035,29095.000,9.000,-0.251,20368.000,7.000,30.919,6337.000,2.000,16.742,17798.000,6.000
E01000570,Brent 012A,E09000005,Brent,24.088,11328.000,4.000,0.121,13513.000,5.000,0.094,13514.000,5.000,15.966,16613.000,6.000,-0.581,24464.000,8.000,0.117,14870.000,5.000,52.435,128.000,1.000,20.912,14616.000,5.000
E01000571,Brent 012B,E09000005,Brent,22.247,12576.000,4.000,0.128,12761.000,4.000,0.095,13481.000,5.000,9.079,22777.000,7.000,-0.566,24274.000,8.000,0.860,4794.000,2.000,35.957,3666.000,2.000,27.757,10105.000,4.000
E01000572,Brent 007A,E09000005,Brent,12.260,21873.000,7.000,0.093,17477.000,6.000,0.043,27123.000,9.000,6.295,25846.000,8.000,-1.141,29892.000,10.000,-0.621,25325.000,8.000,38.957,2495.000,1.000,16.933,17644.000,6.000
E01000573,Brent 007B,E09000005,Brent,13.432,20580.000,7.000,0.098,16562.000,6.000,0.045,26361.000,9.000,6.149,26014.000,8.000,-0.817,27180.000,9.000,0.132,14632.000,5.000,33.536,4791.000,2.000,22.652,13372.000,5.000
E01000574,Brent 007C,E09000005,Brent,10.723,23631.000,8.000,0.066,22391.000,7.000,0.041,27653.000,9.000,6.572,25520.000,8.000,-1.045,29172.000,9.000,-0.444,23051.000,8.000,34.711,4213.000,2.000,21.892,13919.000,5.000
E01000575,Brent 007D,E09000005,Brent,17.369,16668.000,6.000,0.081,19387.000,6.000,0.043,26996.000,9.000,8.469,23435.000,8.000,-1.135,29841.000,10.000,0.428,10052.000,4.000,44.296,1187.000,1.000,34.881,6297.000,2.000
E01000576,Brent 012C,E09000005,Brent,16.509,17462.000,6.000,0.099,16510.000,6.000,0.066,19750.000,7.000,7.746,24198.000,8.000,-0.960,28508.000,9.000,0.456,9667.000,3.000,35.147,4025.000,2.000,25.567,11433.000,4.000
E01000577,Brent 007E,E09000005,Brent,32.606,6835.000,3.000,0.224,5283.000,2.000,0.132,8280.000,3.000,17.573,15415.000,5.000,-0.533,23838.000,8.000,-0.421,22709.000,7.000,59.548,15.000,1.000,33.745,6827.000,3.000
E01000578,Brent 012D,E09000005,Brent,28.890,8553.000,3.000,0.183,7792.000,3.000,0.128,8766.000,3.000,11.311,20608.000,7.000,-0.298,20625.000,7.000,0.830,5116.000,2.000,43.665,1293.000,1.000,23.600,12703.000,4.000
E01000579,Brent 032A,E09000005,Brent,28.906,8541.000,3.000,0.170,8820.000,3.000,0.120,9665.000,3.000,6.955,25090.000,8.000,-0.045,16701.000,6.000,0.498,9107.000,3.000,41.854,1696.000,1.000,43.379,3328.000,2.000
E01000580,Brent 032B,E09000005,Brent,20.094,14258.000,5.000,0.136,11881.000,4.000,0.089,14416.000,5.000,4.666,27707.000,9.000,-0.821,27206.000,9.000,0.962,3830.000,2.000,27.207,9070.000,3.000,28.869,9459.000,3.000
E01000581,Brent 030E,E09000005,Brent,15.538,18404.000,6.000,0.106,15501.000,5.000,0.061,21339.000,7.000,3.439,29206.000,9.000,-1.221,30425.000,10.000,0.448,9793.000,3.000,28.795,7820.000,3.000,34.940,6270.000,2.000
E01000582,Brent 032C,E09000005,Brent,14.317,19625.000,6.000,0.087,18418.000,6.000,0.051,24475.000,8.000,3.994,28553.000,9.000,-0.905,28018.000,9.000,0.409,10315.000,4.000,26.848,9421.000,3.000,38.378,4847.000,2.000
E01000583,Brent 032D,E09000005,Brent,21.296,13321.000,5.000,0.105,15559.000,5.000,0.091,14049.000,5.000,3.402,29255.000,9.000,-0.619,24949.000,8.000,0.622,7418.000,3.000,36.034,3620.000,2.000,41.447,3813.000,2.000
E01000584,Brent 033E,E09000005,Brent,14.526,19420.000,6.000,0.094,17244.000,6.000,0.071,18509.000,6.000,6.488,25615.000,8.000,-0.609,24830.000,8.000,-0.095,18066.000,6.000,27.385,8928.000,3.000,30.054,8774.000,3.000
E01000585,Brent 033F,E09000005,Brent,14.234,19713.000,7.000,0.100,16329.000,5.000,0.056,22605.000,7.000,4.685,27682.000,9.000,-0.480,23134.000,8.000,0.030,16219.000,5.000,31.395,6030.000,2.000,25.499,11478.000,4.000
E01000586,Brent 032E,E09000005,Brent,21.525,13162.000,5.000,0.125,13153.000,5.000,0.089,14488.000,5.000,8.761,23127.000,8.000,-0.711,26038.000,8.000,0.364,10955.000,4.000,40.410,2076.000,1.000,32.814,7285.000,3.000
E01000587,Brent 001A,E09000005,Brent,15.010,18908.000,6.000,0.108,15220.000,5.000,0.052,24060.000,8.000,15.894,16665.000,6.000,-0.728,26220.000,8.000,-0.210,19781.000,7.000,33.444,4848.000,2.000,21.483,14202.000,5.000
E01000588,Brent 002E,E09000005,Brent,26.149,10086.000,4.000,0.182,7873.000,3.000,0.108,11356.000,4.000,16.824,15943.000,5.000,-0.566,24265.000,8.000,0.590,7862.000,3.000,40.373,2088.000,1.000,23.459,12812.000,4.000
E01000589,Brent 001B,E09000005,Brent,19.307,15004.000,5.000,0.114,14362.000,5.000,0.077,16935.000,6.000,15.004,17356.000,6.000,-0.630,25083.000,8.000,0.137,14517.000,5.000,41.040,1915.000,1.000,19.860,15394.000,5.000
E01000590,Brent 001C,E09000005,Brent,18.959,15271.000,5.000,0.136,11879.000,4.000,0.083,15707.000,5.000,7.512,24468.000,8.000,-0.143,18279.000,6.000,0.035,16134.000,5.000,33.881,4628.000,2.000,22.440,13536.000,5.000
E01000591,Brent 003F,E09000005,Brent,20.600,13852.000,5.000,0.096,16995.000,6.000,0.058,22156.000,7.000,12.307,19655.000,6.000,-0.636,25158.000,8.000,0.776,5682.000,2.000,44.990,1061.000,1.000,28.871,9457.000,3.000
E01000592,Brent 001D,E09000005,Brent,20.650,13808.000,5.000,0.124,13225.000,5.000,0.076,17233.000,6.000,11.714,20219.000,7.000,-0.256,19960.000,7.000,0.637,7237.000,3.000,37.930,2853.000,1.000,20.575,14840.000,5.000
E01000593,Brent 001E,E09000005,Brent,19.632,14685.000,5.000,0.143,11207.000,4.000,0.077,16945.000,6.000,10.562,21299.000,7.000,-0.694,25860.000,8.000,-0.109,18275.000,6.000,42.723,1484.000,1.000,18.314,16573.000,6.000
E01000594,Brent 001F,E09000005,Brent,17.074,16924.000,6.000,0.106,15550.000,5.000,0.041,27478.000,9.000,10.621,21251.000,7.000,-1.337,31050.000,10.000,0.238,12897.000,4.000,43.908,1255.000,1.000,28.302,9783.000,3.000
E01000595,Brent 027A,E09000005,Brent,45.345,2994.000,1.000,0.243,4346.000,2.000,0.190,3697.000,2.000,34.907,6793.000,3.000,0.610,7821.000,3.000,0.622,7422.000,3.000,54.659,71.000,1.000,34.449,6497.000,2.000
E01000596,Brent 021A,E09000005,Brent,46.524,2747.000,1.000,0.274,3083.000,1.000,0.186,3934.000,2.000,34.635,6889.000,3.000,0.061,15057.000,5.000,1.046,3174.000,1.000,58.742,19.000,1.000,34.228,6583.000,3.000
E01000599,Brent 027D,E09000005,Brent,51.401,1969.000,1.000,0.338,1254.000,1.000,0.217,2412.000,1.000,17.349,15571.000,5.000,0.657,7318.000,3.000,0.930,4130.000,2.000,51.216,199.000,1.000,36.679,5513.000,2.000
E01000600,Brent 027E,E09000005,Brent,36.846,5250.000,2.000,0.171,8680.000,3.000,0.143,7205.000,3.000,26.212,10201.000,4.000,0.348,10999.000,4.000,0.602,7733.000,3.000,56.302,41.000,1.000,35.766,5910.000,2.000
E01000601,Brent 021B,E09000005,Brent,57.244,1192.000,1.000,0.358,906.000,1.000,0.226,2016.000,1.000,36.348,6342.000,2.000,0.776,6133.000,2.000,1.454,1193.000,1.000,55.161,62.000,1.000,20.264,15087.000,5.000
E01000602,Brent 021C,E09000005,Brent,39.756,4335.000,2.000,0.253,3903.000,2.000,0.176,4577.000,2.000,24.138,11274.000,4.000,-0.315,20883.000,7.000,0.799,5430.000,2.000,66.566,3.000,1.000,21.626,14105.000,5.000
E01000603,Brent 021D,E09000005,Brent,39.051,4557.000,2.000,0.270,3205.000,1.000,0.169,5067.000,2.000,23.961,11375.000,4.000,-0.266,20131.000,7.000,0.443,9873.000,4.000,51.421,181.000,1.000,28.077,9908.000,4.000
E01000604,Brent 021E,E09000005,Brent,43.130,3443.000,2.000,0.289,2555.000,1.000,0.184,4079.000,2.000,24.845,10919.000,4.000,0.105,14436.000,5.000,0.667,6886.000,3.000,70.456,1.000,1.000,23.041,13097.000,4.000
E01000605,Brent 021F,E09000005,Brent,45.540,2954.000,1.000,0.273,3120.000,1.000,0.195,3410.000,2.000,30.801,8261.000,3.000,0.029,15560.000,5.000,0.988,3617.000,2.000,55.891,48.000,1.000,30.084,8753.000,3.000
E01000606,Brent 016B,E09000005,Brent,19.696,14627.000,5.000,0.120,13733.000,5.000,0.075,17546.000,6.000,10.674,21201.000,7.000,-0.866,27656.000,9.000,0.223,13148.000,5.000,39.940,2204.000,1.000,31.067,8220.000,3.000
E01000607,Brent 013C,E09000005,Brent,18.814,15403.000,5.000,0.112,14715.000,5.000,0.061,21148.000,7.000,9.265,22610.000,7.000,-0.960,28504.000,9.000,-0.244,20258.000,7.000,50.107,303.000,1.000,21.347,14295.000,5.000
E01000608,Brent 013D,E09000005,Brent,22.141,12668.000,4.000,0.127,12833.000,4.000,0.058,22021.000,7.000,9.761,22086.000,7.000,-0.507,23514.000,8.000,0.545,8464.000,3.000,47.001,712.000,1.000,32.480,7477.000,3.000
E01000609,Brent 016C,E09000005,Brent,20.990,13560.000,5.000,0.121,13567.000,5.000,0.065,20082.000,7.000,13.937,18215.000,6.000,-0.630,25085.000,8.000,0.335,11412.000,4.000,46.667,783.000,1.000,24.470,12111.000,4.000
E01000610,Brent 019A,E09000005,Brent,24.925,10807.000,4.000,0.137,11814.000,4.000,0.085,15164.000,5.000,15.061,17312.000,6.000,-0.405,22177.000,7.000,0.514,8890.000,3.000,51.266,195.000,1.000,18.451,16471.000,6.000
E01000611,Brent 016D,E09000005,Brent,24.049,11357.000,4.000,0.127,12896.000,4.000,0.086,15083.000,5.000,13.391,18687.000,6.000,-0.129,18045.000,6.000,0.303,11889.000,4.000,46.422,818.000,1.000,29.429,9134.000,3.000
E01000612,Brent 019B,E09000005,Brent,22.985,12061.000,4.000,0.162,9461.000,3.000,0.071,18579.000,6.000,11.485,20434.000,7.000,-0.242,19754.000,7.000,0.320,11648.000,4.000,46.196,861.000,1.000,20.808,14684.000,5.000
E01000613,Brent 013E,E09000005,Brent,25.258,10614.000,4.000,0.154,10146.000,4.000,0.090,14188.000,5.000,12.281,19686.000,6.000,-0.514,23619.000,8.000,-0.259,20469.000,7.000,56.826,34.000,1.000,26.918,10601.000,4.000
E01000615,Brent 017B,E09000005,Brent,19.767,14567.000,5.000,0.102,16000.000,5.000,0.058,22068.000,7.000,12.751,19267.000,6.000,-0.673,25614.000,8.000,-0.104,18198.000,6.000,57.715,26.000,1.000,16.659,17857.000,6.000
E01000616,Brent 020A,E09000005,Brent,21.621,13069.000,4.000,0.107,15303.000,5.000,0.068,19238.000,6.000,10.260,21584.000,7.000,-0.738,26345.000,9.000,0.549,8414.000,3.000,45.892,907.000,1.000,34.433,6505.000,2.000
E01000617,Brent 017C,E09000005,Brent,24.108,11317.000,4.000,0.128,12801.000,4.000,0.075,17518.000,6.000,14.295,17906.000,6.000,-0.412,22280.000,7.000,1.035,3259.000,1.000,42.688,1496.000,1.000,26.460,10904.000,4.000
E01000618,Brent 017D,E09000005,Brent,21.830,12895.000,4.000,0.137,11831.000,4.000,0.089,14522.000,5.000,17.419,15524.000,5.000,-0.624,25016.000,8.000,0.221,13176.000,5.000,40.421,2070.000,1.000,23.342,12893.000,4.000
E01000619,Brent 017E,E09000005,Brent,19.435,14873.000,5.000,0.137,11786.000,4.000,0.073,18060.000,6.000,16.369,16287.000,5.000,-0.606,24782.000,8.000,0.017,16420.000,5.000,39.898,2218.000,1.000,17.313,17357.000,6.000
E01000620,Brent 020B,E09000005,Brent,20.903,13624.000,5.000,0.118,13900.000,5.000,0.075,17564.000,6.000,18.942,14440.000,5.000,-1.104,29618.000,10.000,-0.108,18249.000,6.000,43.829,1264.000,1.000,31.500,7992.000,3.000
E01000621,Brent 020C,E09000005,Brent,25.172,10660.000,4.000,0.128,12761.000,4.000,0.072,18319.000,6.000,20.958,13167.000,5.000,0.284,11844.000,4.000,-0.053,17460.000,6.000,46.168,865.000,1.000,33.803,6793.000,3.000
E01000622,Brent 010D,E09000005,Brent,30.140,7963.000,3.000,0.140,11502.000,4.000,0.079,16605.000,6.000,22.624,12160.000,4.000,-0.275,20292.000,7.000,0.963,3821.000,2.000,59.308,16.000,1.000,33.702,6850.000,3.000
E01000623,Brent 005C,E09000005,Brent,16.120,17826.000,6.000,0.100,16270.000,5.000,0.054,23544.000,8.000,12.394,19583.000,6.000,-0.628,25067.000,8.000,-0.279,20746.000,7.000,36.046,3612.000,2.000,31.752,7856.000,3.000
E01000624,Brent 005D,E09000005,Brent,18.739,15459.000,5.000,0.128,12802.000,4.000,0.072,18191.000,6.000,16.229,16383.000,5.000,-0.668,25567.000,8.000,-0.316,21261.000,7.000,39.864,2231.000,1.000,21.486,14201.000,5.000
E01000625,Brent 009E,E09000005,Brent,22.448,12420.000,4.000,0.142,11265.000,4.000,0.076,17235.000,6.000,14.864,17448.000,6.000,-0.563,24224.000,8.000,0.111,14967.000,5.000,47.781,595.000,1.000,21.969,13871.000,5.000
E01000626,Brent 010E,E09000005,Brent,43.498,3361.000,2.000,0.273,3122.000,1.000,0.167,5207.000,2.000,29.765,8676.000,3.000,0.242,12480.000,4.000,1.105,2771.000,1.000,54.369,76.000,1.000,21.916,13902.000,5.000
E01000627,Brent 014E,E09000005,Brent,39.150,4522.000,2.000,0.200,6694.000,3.000,0.129,8651.000,3.000,28.942,8998.000,3.000,-0.136,18162.000,6.000,1.244,2009.000,1.000,53.257,99.000,1.000,40.599,4074.000,2.000
E01000628,Brent 014F,E09000005,Brent,33.655,6391.000,2.000,0.183,7808.000,3.000,0.121,9574.000,3.000,22.309,12343.000,4.000,-0.024,16366.000,5.000,0.798,5444.000,2.000,48.899,464.000,1.000,36.536,5562.000,2.000
E01000629,Brent 005E,E09000005,Brent,15.786,18148.000,6.000,0.086,18534.000,6.000,0.060,21548.000,7.000,19.783,13888.000,5.000,-0.782,26803.000,9.000,-0.008,16802.000,6.000,34.590,4270.000,2.000,22.764,13292.000,5.000
E01000630,Brent 026E,E09000005,Brent,28.674,8671.000,3.000,0.154,10098.000,4.000,0.108,11344.000,4.000,17.187,15675.000,5.000,-0.390,21993.000,7.000,0.735,6115.000,2.000,51.409,184.000,1.000,22.336,13633.000,5.000
E01000631,Brent 019C,E09000005,Brent,16.862,17121.000,6.000,0.094,17299.000,6.000,0.046,25952.000,8.000,15.943,16628.000,6.000,-1.244,30560.000,10.000,0.065,15674.000,5.000,41.858,1695.000,1.000,29.444,9125.000,3.000
E01000632,Brent 029E,E09000005,Brent,18.641,15543.000,5.000,0.096,16907.000,6.000,0.050,24656.000,8.000,27.807,9481.000,3.000,-1.292,30816.000,10.000,0.068,15619.000,5.000,39.775,2263.000,1.000,31.303,8102.000,3.000
E01000633,Brent 019D,E09000005,Brent,24.495,11067.000,4.000,0.125,13044.000,4.000,0.054,23331.000,8.000,26.372,10118.000,4.000,-0.686,25775.000,8.000,0.696,6543.000,2.000,48.212,546.000,1.000,30.989,8260.000,3.000
E01000634,Brent 019E,E09000005,Brent,21.854,12873.000,4.000,0.128,12779.000,4.000,0.065,20074.000,7.000,15.014,17344.000,6.000,-0.608,24822.000,8.000,-0.146,18823.000,6.000,54.914,67.000,1.000,19.941,15338.000,5.000
E01000635,Brent 020D,E09000005,Brent,29.677,8174.000,3.000,0.163,9401.000,3.000,0.091,14085.000,5.000,15.302,17126.000,6.000,-0.877,27782.000,9.000,1.062,3059.000,1.000,49.107,437.000,1.000,38.432,4826.000,2.000
E01000636,Brent 020E,E09000005,Brent,18.160,15999.000,5.000,0.097,16781.000,6.000,0.058,22108.000,7.000,18.776,14573.000,5.000,-1.204,30306.000,10.000,-0.021,17011.000,6.000,38.624,2616.000,1.000,35.531,6002.000,2.000
E01000637,Brent 022B,E09000005,Brent,23.342,11819.000,4.000,0.152,10329.000,4.000,0.102,12140.000,4.000,16.145,16454.000,6.000,-0.319,20954.000,7.000,0.136,14552.000,5.000,34.650,4241.000,2.000,32.484,7474.000,3.000
E01000638,Brent 024A,E09000005,Brent,28.948,8516.000,3.000,0.167,9059.000,3.000,0.094,13668.000,5.000,20.905,13201.000,5.000,-0.201,19155.000,6.000,0.862,4773.000,2.000,40.449,2064.000,1.000,39.281,4507.000,2.000
E01000639,Brent 022C,E09000005,Brent,22.065,12728.000,4.000,0.129,12639.000,4.000,0.070,18679.000,6.000,11.402,20520.000,7.000,-0.816,27175.000,9.000,0.844,4948.000,2.000,40.339,2098.000,1.000,31.439,8030.000,3.000
E01000640,Brent 024B,E09000005,Brent,26.984,9599.000,3.000,0.173,8592.000,3.000,0.095,13406.000,5.000,21.772,12684.000,4.000,-0.596,24661.000,8.000,0.248,12756.000,4.000,41.478,1786.000,1.000,39.686,4363.000,2.000
E01000641,Brent 024C,E09000005,Brent,30.752,7673.000,3.000,0.196,6876.000,3.000,0.122,9441.000,3.000,21.339,12950.000,4.000,0.042,15348.000,5.000,0.756,5875.000,2.000,37.477,3029.000,1.000,32.447,7492.000,3.000
E01000642,Brent 022D,E09000005,Brent,27.298,9415.000,3.000,0.177,8268.000,3.000,0.101,12350.000,4.000,11.851,20085.000,7.000,-0.320,20971.000,7.000,0.365,10951.000,4.000,42.792,1467.000,1.000,39.438,4448.000,2.000
E01000643,Brent 024D,E09000005,Brent,51.118,2011.000,1.000,0.317,1751.000,1.000,0.230,1910.000,1.000,20.506,13463.000,5.000,0.846,5485.000,2.000,1.048,3157.000,1.000,47.559,620.000,1.000,32.225,7599.000,3.000
E01000644,Brent 022E,E09000005,Brent,24.997,10775.000,4.000,0.171,8713.000,3.000,0.099,12661.000,4.000,9.296,22580.000,7.000,-0.188,18965.000,6.000,0.361,10994.000,4.000,38.539,2646.000,1.000,33.885,6746.000,3.000
E01033424,Brent 017F,E09000005,Brent,23.051,12020.000,4.000,0.107,15328.000,5.000,0.061,21156.000,7.000,12.978,19062.000,6.000,-0.582,24477.000,8.000,0.829,5131.000,2.000,48.025,562.000,1.000,32.226,7598.000,3.000
E01033455,Brent 031G,E09000005,Brent,42.066,3699.000,2.000,0.238,4581.000,2.000,0.146,6908.000,3.000,38.009,5904.000,2.000,0.031,15541.000,5.000,1.312,1699.000,1.000,38.504,2657.000,1.000,52.255,1540.000,1.000
E01033456,Brent 027F,E09000005,Brent,52.880,1738.000,1.000,0.336,1290.000,1.000,0.260,1071.000,1.000,25.772,10430.000,4.000,0.480,9328.000,3.000,0.832,5086.000,2.000,49.233,423.000,1.000,28.421,9713.000,3.000
E01033457,Brent 017G,E09000005,Brent,20.230,14149.000,5.000,0.088,18132.000,6.000,0.042,27289.000,9.000,6.605,25481.000,8.000,-0.753,26498.000,9.000,1.169,2418.000,1.000,44.159,1214.000,1.000,32.916,7247.000,3.000
E01033463,Brent 003G,E09000005,Brent,13.579,20396.000,7.000,0.098,16624.000,6.000,0.058,21971.000,7.000,7.344,24657.000,8.000,-1.208,30336.000,10.000,-0.415,22629.000,7.000,35.745,3752.000,2.000,21.222,14385.000,5.000
E01033464,Brent 010F,E09000005,Brent,29.746,8142.000,3.000,0.189,7401.000,3.000,0.128,8741.000,3.000,29.929,8603.000,3.000,-0.256,19963.000,7.000,0.176,13900.000,5.000,41.618,1750.000,1.000,27.112,10468.000,4.000
E01033485,Brent 031H,E09000005,Brent,33.913,6307.000,2.000,0.182,7886.000,3.000,0.153,6258.000,2.000,26.644,10000.000,4.000,-0.511,23575.000,8.000,1.024,3347.000,2.000,40.126,2149.000,1.000,36.720,5494.000,2.000
E01000645,Bromley 007A,E09000006,Bromley,4.426,31081.000,10.000,0.011,32746.000,10.000,0.010,32762.000,10.000,0.534,32493.000,10.000,-1.934,32553.000,10.000,-0.531,24199.000,8.000,27.338,8959.000,3.000,13.543,20543.000,7.000
E01000646,Bromley 016A,E09000006,Bromley,8.685,26185.000,8.000,0.068,22011.000,7.000,0.053,23779.000,8.000,2.155,30715.000,10.000,-1.214,30379.000,10.000,-0.260,20483.000,7.000,23.385,12779.000,4.000,19.837,15419.000,5.000
E01000647,Bromley 016B,E09000006,Bromley,6.901,28453.000,9.000,0.054,25133.000,8.000,0.035,29256.000,9.000,5.188,27100.000,9.000,-1.147,29921.000,10.000,-0.245,20268.000,7.000,20.155,16463.000,6.000,20.024,15276.000,5.000
E01000648,Bromley 016C,E09000006,Bromley,6.434,28942.000,9.000,0.052,25661.000,8.000,0.042,27278.000,9.000,3.883,28669.000,9.000,-1.422,31426.000,10.000,-0.830,27590.000,9.000,22.345,13913.000,5.000,19.042,16007.000,5.000
E01000649,Bromley 007B,E09000006,Bromley,9.063,25707.000,8.000,0.068,21854.000,7.000,0.050,24646.000,8.000,2.027,30864.000,10.000,-1.165,30073.000,10.000,-0.414,22625.000,7.000,31.581,5924.000,2.000,10.864,23147.000,8.000
E01000650,Bromley 022A,E09000006,Bromley,11.657,22579.000,7.000,0.073,21002.000,7.000,0.056,22613.000,7.000,1.192,31798.000,10.000,-0.916,28114.000,9.000,-0.131,18613.000,6.000,38.129,2791.000,1.000,10.628,23403.000,8.000
